Ligand,Energy,Label
decoys_06683_REMARKName=ZINC22742313,-12.37,decoy
decoys_01408_REMARKName=ZINC02699071,-11.71,decoy
decoys_06325_REMARKName=ZINC19536024,-7.37,decoy
decoys_01242_REMARKName=ZINC05487777,-11.03,decoy
decoys_06514_REMARKName=ZINC59166094,-9.73,decoy
decoys_00054_REMARKName=ZINC64605266,-11.5,decoy
decoys_05131_REMARKName=ZINC13065190,-11.63,decoy
decoys_10079_REMARKName=ZINC02124524,-10.07,decoy
decoys_03022_REMARKName=ZINC43554331,-10.81,decoy
decoys_01007_REMARKName=ZINC08847643,-9.71,decoy
decoys_06244_REMARKName=ZINC09088443,-12.09,decoy
decoys_07079_REMARKName=ZINC66398317,-8.68,decoy
decoys_05194_REMARKName=ZINC20609370,-9.22,decoy
decoys_06866_REMARKName=ZINC08872926,-10.97,decoy
decoys_08976_REMARKName=ZINC35474822,-7.51,decoy
decoys_05968_REMARKName=ZINC09254419,-11.81,decoy
decoys_01329_REMARKName=ZINC38789990,-9.85,decoy
decoys_00238_REMARKName=ZINC22053065,-12.21,decoy
decoys_09436_REMARKName=ZINC23053442,-9.95,decoy
decoys_07085_REMARKName=ZINC67304269,-8.82,decoy
decoys_04840_REMARKName=ZINC01808740,-11.17,decoy
decoys_05660_REMARKName=ZINC36551876,-9.5,decoy
decoys_05765_REMARKName=ZINC33810231,-11.36,decoy
decoys_03890_REMARKName=ZINC20692934,-8.25,decoy
decoys_07657_REMARKName=ZINC63686637,-10.36,decoy
decoys_04609_REMARKName=ZINC58946005,-10.42,decoy
decoys_08648_REMARKName=ZINC37760972,-7.79,decoy
decoys_05418_REMARKName=ZINC38915573,-12.07,decoy
decoys_02860_REMARKName=ZINC58999900,-10.26,decoy
decoys_04453_REMARKName=ZINC39594588,-10.96,decoy
decoys_07175_REMARKName=ZINC39944256,-9.88,decoy
decoys_02425_REMARKName=ZINC08924259,-12.01,decoy
decoys_01452_REMARKName=ZINC50630409,-8.3,decoy
decoys_08388_REMARKName=ZINC63398589,-11.11,decoy
decoys_04675_REMARKName=ZINC08386177,-10.47,decoy
decoys_00638_REMARKName=ZINC13139915,-9.98,decoy
decoys_01808_REMARKName=ZINC06719045,-8.89,decoy
decoys_00779_REMARKName=ZINC10099565,-9.81,decoy
decoys_04158_REMARKName=ZINC08567966,-9.59,decoy
decoys_04084_REMARKName=ZINC13202550,-10.88,decoy
decoys_04180_REMARKName=ZINC13976276,-8.94,decoy
decoys_00729_REMARKName=ZINC63375102,-10.69,decoy
actives_00045_REMARKName=CHEMBL430413,-10.43,active
decoys_06880_REMARKName=ZINC16671482,-9.55,decoy
decoys_06437_REMARKName=ZINC36245350,-9.55,decoy
decoys_05524_REMARKName=ZINC10186803,-11.09,decoy
decoys_03619_REMARKName=ZINC36090973,-8.55,decoy
decoys_06707_REMARKName=ZINC20708796,-11.99,decoy
decoys_02794_REMARKName=ZINC39785626,-10.0,decoy
decoys_02325_REMARKName=ZINC20283675,-9.51,decoy
decoys_03817_REMARKName=ZINC63908589,-9.74,decoy
decoys_09901_REMARKName=ZINC04176564,-10.95,decoy
decoys_02869_REMARKName=ZINC08915377,-8.98,decoy
decoys_01207_REMARKName=ZINC21224072,-10.48,decoy
decoys_08794_REMARKName=ZINC63857143,-8.13,decoy
decoys_02061_REMARKName=ZINC23590736,-9.78,decoy
decoys_09469_REMARKName=ZINC64580401,-12.38,decoy
decoys_07667_REMARKName=ZINC20832729,-10.31,decoy
decoys_04208_REMARKName=ZINC39957762,-11.23,decoy
decoys_02268_REMARKName=ZINC39595190,-11.6,decoy
decoys_09734_REMARKName=ZINC39573047,-9.71,decoy
decoys_02873_REMARKName=ZINC12402727,-9.42,decoy
decoys_06749_REMARKName=ZINC10050107,-10.54,decoy
decoys_00845_REMARKName=ZINC15240798,-9.58,decoy
decoys_07915_REMARKName=ZINC28059557,-10.15,decoy
decoys_10042_REMARKName=ZINC10455752,-9.59,decoy
decoys_05022_REMARKName=ZINC13065434,-11.34,decoy
decoys_03891_REMARKName=ZINC12375713,-8.35,decoy
decoys_01782_REMARKName=ZINC46338548,-9.04,decoy
decoys_08730_REMARKName=ZINC64044611,-8.06,decoy
decoys_07446_REMARKName=ZINC19296806,-11.35,decoy
decoys_06159_REMARKName=ZINC33810478,-10.22,decoy
decoys_02162_REMARKName=ZINC39597674,-10.1,decoy
decoys_00021_REMARKName=ZINC22485897,-10.48,decoy
decoys_02800_REMARKName=ZINC13010818,-10.03,decoy
decoys_02963_REMARKName=ZINC39544803,-11.26,decoy
decoys_04094_REMARKName=ZINC40205439,-9.4,decoy
decoys_05805_REMARKName=ZINC22735325,-10.53,decoy
decoys_01541_REMARKName=ZINC17397106,-11.19,decoy
decoys_00203_REMARKName=ZINC35664895,-10.22,decoy
decoys_00049_REMARKName=ZINC33383343,-9.06,decoy
decoys_00425_REMARKName=ZINC06443936,-11.84,decoy
decoys_06561_REMARKName=ZINC12469510,-10.08,decoy
decoys_03959_REMARKName=ZINC03569159,-9.25,decoy
decoys_04595_REMARKName=ZINC32948213,-9.75,decoy
decoys_01128_REMARKName=ZINC06757184,-8.31,decoy
decoys_05215_REMARKName=ZINC40920218,-10.02,decoy
decoys_08267_REMARKName=ZINC24986464,-10.3,decoy
decoys_03364_REMARKName=ZINC64538558,-9.89,decoy
decoys_01399_REMARKName=ZINC63732068,-11.23,decoy
decoys_09234_REMARKName=ZINC21960461,-10.49,decoy
decoys_09552_REMARKName=ZINC40628974,-9.85,decoy
decoys_00476_REMARKName=ZINC25454710,-10.31,decoy
decoys_03995_REMARKName=ZINC02416698,-12.33,decoy
decoys_04339_REMARKName=ZINC08620724,-10.91,decoy
decoys_08358_REMARKName=ZINC20684628,-12.01,decoy
actives_00096_REMARKName=CHEMBL1091684,-11.67,active
decoys_05447_REMARKName=ZINC04100113,-10.78,decoy
decoys_02112_REMARKName=ZINC37403159,-7.11,decoy
decoys_06566_REMARKName=ZINC15947039,-9.48,decoy
decoys_03799_REMARKName=ZINC48063531,-9.75,decoy
decoys_08076_REMARKName=ZINC41271293,-8.73,decoy
decoys_09954_REMARKName=ZINC36040368,-8.83,decoy
decoys_07390_REMARKName=ZINC12444765,-10.11,decoy
decoys_01514_REMARKName=ZINC08589469,-10.4,decoy
decoys_04921_REMARKName=ZINC36640434,-10.35,decoy
decoys_02384_REMARKName=ZINC34835437,-10.01,decoy
decoys_02272_REMARKName=ZINC39674706,-9.87,decoy
decoys_08255_REMARKName=ZINC34812125,-10.53,decoy
decoys_09481_REMARKName=ZINC19146147,-10.2,decoy
decoys_01982_REMARKName=ZINC37581506,-7.85,decoy
decoys_03623_REMARKName=ZINC04522784,-9.89,decoy
decoys_00716_REMARKName=ZINC20154868,-10.4,decoy
decoys_03975_REMARKName=ZINC56393348,-9.91,decoy
decoys_01001_REMARKName=ZINC12972071,-10.57,decoy
decoys_03360_REMARKName=ZINC48319962,-8.45,decoy
decoys_07882_REMARKName=ZINC09353068,-10.8,decoy
decoys_03026_REMARKName=ZINC00623044,-10.12,decoy
decoys_04178_REMARKName=ZINC08173765,-9.28,decoy
decoys_00741_REMARKName=ZINC12635716,-10.71,decoy
decoys_06997_REMARKName=ZINC39684622,-9.38,decoy
decoys_08437_REMARKName=ZINC54425102,-7.56,decoy
decoys_08057_REMARKName=ZINC07018850,-8.5,decoy
decoys_06616_REMARKName=ZINC39911807,-10.83,decoy
decoys_04464_REMARKName=ZINC39663987,-11.22,decoy
decoys_00717_REMARKName=ZINC20206022,-10.41,decoy
decoys_04570_REMARKName=ZINC00859119,-9.81,decoy
decoys_02116_REMARKName=ZINC15962002,-11.16,decoy
decoys_08480_REMARKName=ZINC00947672,-10.24,decoy
decoys_05219_REMARKName=ZINC09191775,-10.86,decoy
decoys_01153_REMARKName=ZINC41957075,-8.01,decoy
decoys_07904_REMARKName=ZINC24093623,-9.97,decoy
decoys_09943_REMARKName=ZINC18707824,-11.73,decoy
decoys_09024_REMARKName=ZINC08869244,-10.84,decoy
decoys_03313_REMARKName=ZINC67481893,-9.16,decoy
decoys_03525_REMARKName=ZINC55030186,-7.58,decoy
decoys_07342_REMARKName=ZINC39306382,-9.69,decoy
decoys_02365_REMARKName=ZINC08767211,-9.08,decoy
decoys_08366_REMARKName=ZINC43737044,-11.54,decoy
decoys_00831_REMARKName=ZINC44249939,-8.71,decoy
decoys_07595_REMARKName=ZINC01175860,-9.92,decoy
decoys_02597_REMARKName=ZINC14944315,-12.57,decoy
decoys_09370_REMARKName=ZINC22056815,-11.42,decoy
decoys_06023_REMARKName=ZINC06550138,-9.47,decoy
actives_00077_REMARKName=CHEMBL166031,-8.87,active
decoys_01488_REMARKName=ZINC39637136,-10.84,decoy
decoys_04531_REMARKName=ZINC31475838,-11.33,decoy
decoys_03226_REMARKName=ZINC44743777,-9.05,decoy
decoys_04882_REMARKName=ZINC44028946,-8.66,decoy
decoys_04501_REMARKName=ZINC65548851,-9.26,decoy
decoys_02616_REMARKName=ZINC33812639,-10.17,decoy
decoys_09016_REMARKName=ZINC64609366,-7.89,decoy
decoys_00024_REMARKName=ZINC23894730,-10.31,decoy
decoys_00697_REMARKName=ZINC13064405,-11.74,decoy
decoys_06474_REMARKName=ZINC08897728,-9.93,decoy
