Ligand,Energy,Label
decoys_00453_REMARKName=ZINC67562285,-9.16,decoy
decoys_01561_REMARKName=ZINC39696082,-11.15,decoy
decoys_04225_REMARKName=ZINC34757707,-10.96,decoy
decoys_02116_REMARKName=ZINC48845544,-9.34,decoy
decoys_05255_REMARKName=ZINC15768956,-10.27,decoy
decoys_01601_REMARKName=ZINC29642969,-10.03,decoy
decoys_03277_REMARKName=ZINC43217904,-8.64,decoy
decoys_02663_REMARKName=ZINC37813883,-8.46,decoy
decoys_03704_REMARKName=ZINC02127073,-10.45,decoy
decoys_02895_REMARKName=ZINC43114731,-8.24,decoy
decoys_01047_REMARKName=ZINC39466505,-12.41,decoy
decoys_04701_REMARKName=ZINC38971822,-10.75,decoy
decoys_01552_REMARKName=ZINC39491149,-11.28,decoy
decoys_06561_REMARKName=ZINC04180178,-10.31,decoy
decoys_00983_REMARKName=ZINC39224556,-9.27,decoy
decoys_02098_REMARKName=ZINC42398047,-7.22,decoy
decoys_03713_REMARKName=ZINC38675514,-12.71,decoy
decoys_00599_REMARKName=ZINC47966259,-8.32,decoy
decoys_02843_REMARKName=ZINC43737405,-8.66,decoy
decoys_04767_REMARKName=ZINC03838486,-9.72,decoy
decoys_01728_REMARKName=ZINC61316337,-8.03,decoy
decoys_01290_REMARKName=ZINC40426483,-9.19,decoy
decoys_06379_REMARKName=ZINC27527669,-10.71,decoy
decoys_03889_REMARKName=ZINC35877468,-8.93,decoy
decoys_02015_REMARKName=ZINC59171166,-8.02,decoy
decoys_06639_REMARKName=ZINC09358295,-11.27,decoy
decoys_04475_REMARKName=ZINC43736967,-10.67,decoy
decoys_06127_REMARKName=ZINC06261882,-9.01,decoy
decoys_00401_REMARKName=ZINC01121765,-9.2,decoy
decoys_00355_REMARKName=ZINC35666531,-7.86,decoy
decoys_00628_REMARKName=ZINC38050571,-8.64,decoy
decoys_02692_REMARKName=ZINC61952106,-8.13,decoy
decoys_03960_REMARKName=ZINC44713879,-10.21,decoy
decoys_05809_REMARKName=ZINC38669587,-9.52,decoy
decoys_03881_REMARKName=ZINC26825276,-9.8,decoy
decoys_03032_REMARKName=ZINC39779287,-12.58,decoy
decoys_01112_REMARKName=ZINC19321647,-7.52,decoy
decoys_05957_REMARKName=ZINC41585718,-10.3,decoy
decoys_05534_REMARKName=ZINC64623115,-9.58,decoy
decoys_01691_REMARKName=ZINC65409601,-8.76,decoy
actives_00030_REMARKName=CHEMBL227605,-10.52,active
decoys_02594_REMARKName=ZINC12529030,-10.27,decoy
decoys_06912_REMARKName=ZINC12002867,-12.08,decoy
decoys_05013_REMARKName=ZINC63620088,-10.22,decoy
decoys_02163_REMARKName=ZINC40757944,-7.89,decoy
decoys_04930_REMARKName=ZINC12504513,-8.11,decoy
decoys_00296_REMARKName=ZINC08395142,-10.05,decoy
decoys_03259_REMARKName=ZINC12439985,-7.59,decoy
decoys_04091_REMARKName=ZINC62243684,-5.33,decoy
actives_00135_REMARKName=CHEMBL522351,-9.93,active
decoys_04466_REMARKName=ZINC39220969,-10.87,decoy
decoys_03928_REMARKName=ZINC07738121,-9.68,decoy
decoys_00498_REMARKName=ZINC58950155,-9.91,decoy
decoys_01920_REMARKName=ZINC19535944,-8.85,decoy
decoys_02205_REMARKName=ZINC34748842,-11.49,decoy
decoys_03956_REMARKName=ZINC44713666,-10.2,decoy
actives_00187_REMARKName=CHEMBL259968,-13.3,active
decoys_02846_REMARKName=ZINC08920360,-11.49,decoy
decoys_03543_REMARKName=ZINC06846155,-9.5,decoy
decoys_03175_REMARKName=ZINC43407331,-8.19,decoy
decoys_02558_REMARKName=ZINC17242628,-9.68,decoy
decoys_04079_REMARKName=ZINC20684624,-12.19,decoy
decoys_01702_REMARKName=ZINC04223163,-8.54,decoy
decoys_05778_REMARKName=ZINC05393058,-5.86,decoy
decoys_06347_REMARKName=ZINC12151624,-11.4,decoy
decoys_06385_REMARKName=ZINC63588927,-10.61,decoy
decoys_02741_REMARKName=ZINC50636231,-8.74,decoy
decoys_02254_REMARKName=ZINC04729339,-10.6,decoy
decoys_00739_REMARKName=ZINC06195740,-9.47,decoy
decoys_00205_REMARKName=ZINC45419215,-7.62,decoy
decoys_05427_REMARKName=ZINC51101970,-9.74,decoy
decoys_02335_REMARKName=ZINC51927122,-6.44,decoy
decoys_00936_REMARKName=ZINC35456943,-7.56,decoy
decoys_03674_REMARKName=ZINC41672924,-7.96,decoy
decoys_06671_REMARKName=ZINC39979842,-11.31,decoy
decoys_05016_REMARKName=ZINC41026425,-8.98,decoy
decoys_06469_REMARKName=ZINC34791501,-9.19,decoy
decoys_05393_REMARKName=ZINC46285572,-8.44,decoy
decoys_01348_REMARKName=ZINC04172766,-10.74,decoy
decoys_02404_REMARKName=ZINC63383930,-10.85,decoy
decoys_01665_REMARKName=ZINC35465834,-8.37,decoy
decoys_00826_REMARKName=ZINC36580567,-8.21,decoy
decoys_05344_REMARKName=ZINC22808216,-9.77,decoy
decoys_06847_REMARKName=ZINC02100559,-8.51,decoy
decoys_04390_REMARKName=ZINC51466516,-13.02,decoy
decoys_05365_REMARKName=ZINC46347314,-8.52,decoy
decoys_06841_REMARKName=ZINC63628264,-10.59,decoy
decoys_03402_REMARKName=ZINC08817381,-12.08,decoy
decoys_01579_REMARKName=ZINC04161159,-9.59,decoy
decoys_00762_REMARKName=ZINC21285544,-9.46,decoy
decoys_03520_REMARKName=ZINC59460847,-8.85,decoy
decoys_00394_REMARKName=ZINC66451413,-8.48,decoy
decoys_03716_REMARKName=ZINC10384350,-9.07,decoy
decoys_04467_REMARKName=ZINC39446141,-9.38,decoy
decoys_04581_REMARKName=ZINC39686449,-9.76,decoy
decoys_04376_REMARKName=ZINC08533828,-9.83,decoy
decoys_05369_REMARKName=ZINC52876102,-8.25,decoy
decoys_06398_REMARKName=ZINC09960079,-10.87,decoy
decoys_06381_REMARKName=ZINC12469505,-9.35,decoy
decoys_02803_REMARKName=ZINC54691741,-9.4,decoy
decoys_04457_REMARKName=ZINC24338004,-10.34,decoy
decoys_03600_REMARKName=ZINC12769022,-9.75,decoy
decoys_02550_REMARKName=ZINC13640601,-10.13,decoy
decoys_02899_REMARKName=ZINC43247010,-8.8,decoy
decoys_03310_REMARKName=ZINC03900818,-9.64,decoy
decoys_06210_REMARKName=ZINC13570712,-8.87,decoy
decoys_05319_REMARKName=ZINC65968000,-10.43,decoy
decoys_02279_REMARKName=ZINC39500166,-10.8,decoy
decoys_04739_REMARKName=ZINC38748348,-9.75,decoy
decoys_03025_REMARKName=ZINC01355748,-11.48,decoy
decoys_00424_REMARKName=ZINC57373863,-9.77,decoy
decoys_06299_REMARKName=ZINC27117715,-9.52,decoy
